title,roadmapIndex,slug,topic,difficulty,source
1929,1,concatenation-of-array,arrays-hashing,easy,leetcode
217,2,contains-duplicate,arrays-hashing,easy,leetcode
242,3,valid-anagram,arrays-hashing,easy,leetcode
1,4,two-sum,arrays-hashing,easy,leetcode
14,5,longest-common-prefix,arrays-hashing,easy,leetcode
49,6,group-anagrams,arrays-hashing,medium,leetcode
27,7,remove-element,arrays-hashing,easy,leetcode
169,8,majority-element,arrays-hashing,easy,leetcode
705,9,design-hashset,arrays-hashing,easy,leetcode
706,10,design-hashmap,arrays-hashing,easy,leetcode
912,11,sort-an-array,arrays-hashing,medium,leetcode
75,12,sort-colors,arrays-hashing,medium,leetcode
347,13,top-k-frequent-elements,arrays-hashing,medium,leetcode
304,14,range-sum-query-2d-immutable,arrays-hashing,medium,leetcode
238,15,product-of-array-except-self,arrays-hashing,medium,leetcode
36,16,valid-sudoku,arrays-hashing,medium,leetcode
128,17,longest-consecutive-sequence,arrays-hashing,medium,leetcode
122,18,best-time-to-buy-and-sell-stock-ii,arrays-hashing,medium,leetcode
229,19,majority-element-ii,arrays-hashing,medium,leetcode
560,20,subarray-sum-equals-k,arrays-hashing,medium,leetcode
41,21,first-missing-positive,arrays-hashing,hard,leetcode
344,22,reverse-string,two-pointers,easy,leetcode
125,23,valid-palindrome,two-pointers,easy,leetcode
680,24,valid-palindrome-ii,two-pointers,easy,leetcode
1768,25,merge-strings-alternately,two-pointers,easy,leetcode
88,26,merge-sorted-array,two-pointers,easy,leetcode
26,27,remove-duplicates-from-sorted-array,two-pointers,easy,leetcode
167,28,two-sum-ii-input-array-is-sorted,two-pointers,medium,leetcode
15,29,3sum,two-pointers,medium,leetcode
18,30,4sum,two-pointers,medium,leetcode
189,31,rotate-array,two-pointers,medium,leetcode
11,32,container-with-most-water,two-pointers,medium,leetcode
881,33,boats-to-save-people,two-pointers,medium,leetcode
42,34,trapping-rain-water,two-pointers,hard,leetcode
219,35,contains-duplicate-ii,sliding-window,easy,leetcode
121,36,best-time-to-buy-and-sell-stock,sliding-window,easy,leetcode
3,37,longest-substring-without-repeating-characters,sliding-window,medium,leetcode
424,38,longest-repeating-character-replacement,sliding-window,medium,leetcode
567,39,permutation-in-string,sliding-window,medium,leetcode
209,40,minimum-size-subarray-sum,sliding-window,medium,leetcode
658,41,find-k-closest-elements,sliding-window,medium,leetcode
76,42,minimum-window-substring,sliding-window,hard,leetcode
239,43,sliding-window-maximum,sliding-window,hard,leetcode
682,44,baseball-game,stack,easy,leetcode
20,45,valid-parentheses,stack,easy,leetcode
225,46,implement-stack-using-queues,stack,easy,leetcode
232,47,implement-queue-using-stacks,stack,easy,leetcode
155,48,min-stack,stack,medium,leetcode
150,49,evaluate-reverse-polish-notation,stack,medium,leetcode
22,50,generate-parentheses,backtracking,medium,leetcode
735,51,asteroid-collision,stack,medium,leetcode
739,52,daily-temperatures,stack,medium,leetcode
901,53,online-stock-span,stack,medium,leetcode
853,54,car-fleet,stack,medium,leetcode
71,55,simplify-path,stack,medium,leetcode
394,56,decode-string,stack,medium,leetcode
895,57,maximum-frequency-stack,stack,hard,leetcode
84,58,largest-rectangle-in-histogram,stack,hard,leetcode
704,59,binary-search,binary-search,easy,leetcode
35,60,search-insert-position,binary-search,easy,leetcode
374,61,guess-number-higher-or-lower,binary-search,easy,leetcode
69,62,sqrtx,binary-search,easy,leetcode
74,63,search-a-2d-matrix,binary-search,medium,leetcode
875,64,koko-eating-bananas,binary-search,medium,leetcode
1011,65,capacity-to-ship-packages-within-d-days,binary-search,medium,leetcode
153,66,find-minimum-in-rotated-sorted-array,binary-search,medium,leetcode
33,67,search-in-rotated-sorted-array,binary-search,medium,leetcode
81,68,search-in-rotated-sorted-array-ii,binary-search,medium,leetcode
981,69,time-based-key-value-store,binary-search,medium,leetcode
410,70,split-array-largest-sum,binary-search,hard,leetcode
4,71,median-of-two-sorted-arrays,binary-search,hard,leetcode
1095,72,find-in-mountain-array,binary-search,hard,leetcode
206,73,reverse-linked-list,linked-list,easy,leetcode
21,74,merge-two-sorted-lists,linked-list,easy,leetcode
141,75,linked-list-cycle,linked-list,easy,leetcode
143,76,reorder-list,linked-list,medium,leetcode
19,77,remove-nth-node-from-end-of-list,linked-list,medium,leetcode
138,78,copy-list-with-random-pointer,linked-list,medium,leetcode
2,79,add-two-numbers,linked-list,medium,leetcode
287,80,find-the-duplicate-number,linked-list,medium,leetcode
92,81,reverse-linked-list-ii,linked-list,medium,leetcode
146,82,lru-cache,linked-list,medium,leetcode
460,83,lfu-cache,linked-list,hard,leetcode
25,84,reverse-nodes-in-k-group,linked-list,hard,leetcode
94,85,binary-tree-inorder-traversal,tree,easy,leetcode
144,86,binary-tree-preorder-traversal,tree,easy,leetcode
145,87,binary-tree-postorder-traversal,tree,easy,leetcode
226,88,invert-binary-tree,tree,easy,leetcode
104,89,maximum-depth-of-binary-tree,tree,easy,leetcode
543,90,diameter-of-binary-tree,tree,easy,leetcode
110,91,balanced-binary-tree,tree,easy,leetcode
100,92,same-tree,tree,easy,leetcode
572,93,subtree-of-another-tree,tree,easy,leetcode
235,94,lowest-common-ancestor-of-a-binary-search-tree,tree,medium,leetcode
701,95,insert-into-a-binary-search-tree,tree,medium,leetcode
450,96,delete-node-in-a-bst,tree,medium,leetcode
102,97,binary-tree-level-order-traversal,tree,medium,leetcode
199,98,binary-tree-right-side-view,tree,medium,leetcode
427,99,construct-quad-tree,tree,medium,leetcode
1448,100,count-good-nodes-in-binary-tree,tree,medium,leetcode
98,101,validate-binary-search-tree,tree,medium,leetcode
230,102,kth-smallest-element-in-a-bst,tree,medium,leetcode
105,103,construct-binary-tree-from-preorder-and-inorder-traversal,tree,medium,leetcode
337,104,house-robber-iii,tree,medium,leetcode
1325,105,delete-leaves-with-a-given-value,tree,medium,leetcode
124,106,binary-tree-maximum-path-sum,tree,hard,leetcode
297,107,serialize-and-deserialize-binary-tree,tree,hard,leetcode
703,108,kth-largest-element-in-a-stream,priority-queue,easy,leetcode
1046,109,last-stone-weight,priority-queue,easy,leetcode
973,110,k-closest-points-to-origin,priority-queue,medium,leetcode
215,111,kth-largest-element-in-an-array,priority-queue,medium,leetcode
621,112,task-scheduler,priority-queue,medium,leetcode
355,113,design-twitter,priority-queue,medium,leetcode
1834,114,single-threaded-cpu,priority-queue,medium,leetcode
767,115,reorganize-string,priority-queue,medium,leetcode
1405,116,longest-happy-string,priority-queue,medium,leetcode
1094,117,car-pooling,priority-queue,medium,leetcode
295,118,find-median-from-data-stream,priority-queue,hard,leetcode
502,119,ipo,priority-queue,hard,leetcode
1863,120,sum-of-all-subset-xor-totals,backtracking,easy,leetcode
78,121,subsets,backtracking,medium,leetcode
39,122,combination-sum,backtracking,medium,leetcode
40,123,combination-sum-ii,backtracking,medium,leetcode
77,124,combinations,backtracking,medium,leetcode
46,125,permutations,backtracking,medium,leetcode
90,126,subsets-ii,backtracking,medium,leetcode
47,127,permutations-ii,backtracking,medium,leetcode
79,128,word-search,backtracking,medium,leetcode
131,129,palindrome-partitioning,backtracking,medium,leetcode
17,130,letter-combinations-of-a-phone-number,backtracking,medium,leetcode
473,131,matchsticks-to-square,backtracking,medium,leetcode
698,132,partition-to-k-equal-sum-subsets,backtracking,medium,leetcode
51,133,n-queens,backtracking,hard,leetcode
52,134,n-queens-ii,backtracking,hard,leetcode
140,135,word-break-ii,backtracking,hard,leetcode
208,136,implement-trie-prefix-tree,tries,medium,leetcode
211,137,design-add-and-search-words-data-structure,tries,medium,leetcode
2707,138,extra-characters-in-a-string,tries,medium,leetcode
212,139,word-search-ii,tries,hard,leetcode
463,140,island-perimeter,graphs,easy,leetcode
953,141,verifying-an-alien-dictionary,graphs,easy,leetcode
997,142,find-the-town-judge,graphs,easy,leetcode
200,143,number-of-islands,graphs,medium,leetcode
695,144,max-area-of-island,graphs,medium,leetcode
133,145,clone-graph,graphs,medium,leetcode
994,146,rotting-oranges,graphs,medium,leetcode
417,147,pacific-atlantic-water-flow,graphs,medium,leetcode
130,148,surrounded-regions,graphs,medium,leetcode
752,149,open-the-lock,graphs,medium,leetcode
207,150,course-schedule,graphs,medium,leetcode
210,151,course-schedule-ii,graphs,medium,leetcode
684,152,redundant-connection,graphs,medium,leetcode
721,153,accounts-merge,graphs,medium,leetcode
399,154,evaluate-division,graphs,medium,leetcode
310,155,minimum-height-trees,graphs,medium,leetcode
127,156,word-ladder,graphs,hard,leetcode
70,157,climbing-stairs,1d-dp,easy,leetcode
746,158,min-cost-climbing-stairs,1d-dp,easy,leetcode
1137,159,n-th-tribonacci-number,1d-dp,easy,leetcode
198,160,house-robber,1d-dp,medium,leetcode
213,161,house-robber-ii,1d-dp,medium,leetcode
5,162,longest-palindromic-substring,1d-dp,medium,leetcode
647,163,palindromic-substrings,1d-dp,medium,leetcode
91,164,decode-ways,1d-dp,medium,leetcode
322,165,coin-change,1d-dp,medium,leetcode
152,166,maximum-product-subarray,1d-dp,medium,leetcode
139,167,word-break,1d-dp,medium,leetcode
300,168,longest-increasing-subsequence,1d-dp,medium,leetcode
416,169,partition-equal-subset-sum,1d-dp,medium,leetcode
377,170,combination-sum-iv,1d-dp,medium,leetcode
279,171,perfect-squares,1d-dp,medium,leetcode
343,172,integer-break,1d-dp,medium,leetcode
1406,173,stone-game-iii,1d-dp,hard,leetcode
62,174,unique-paths,2d-dp,medium,leetcode
63,175,unique-paths-ii,2d-dp,medium,leetcode
64,176,minimum-path-sum,2d-dp,medium,leetcode
1143,177,longest-common-subsequence,2d-dp,medium,leetcode
1049,178,last-stone-weight-ii,2d-dp,medium,leetcode
309,179,best-time-to-buy-and-sell-stock-with-cooldown,2d-dp,medium,leetcode
518,180,coin-change-ii,2d-dp,medium,leetcode
494,181,target-sum,2d-dp,medium,leetcode
97,182,interleaving-string,2d-dp,medium,leetcode
877,183,stone-game,2d-dp,medium,leetcode
1140,184,stone-game-ii,2d-dp,medium,leetcode
329,185,longest-increasing-path-in-a-matrix,2d-dp,hard,leetcode
115,186,distinct-subsequences,2d-dp,hard,leetcode
72,187,edit-distance,2d-dp,hard,leetcode
312,188,burst-balloons,2d-dp,hard,leetcode
10,189,regular-expression-matching,2d-dp,hard,leetcode
